algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,10,0.000000,79,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,80,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,81,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,82,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,83,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,84,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,85,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,86,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,87,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,88,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,89,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,90,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,91,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,92,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,93,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,94,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,95,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,96,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,97,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,98,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,99,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,100,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,1,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,2,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,3,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,4,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,5,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,6,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,7,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,8,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,9,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,10,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,11,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,12,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,13,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,14,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,15,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,16,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,17,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,18,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,19,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,20,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,21,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,22,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,23,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,24,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,25,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,26,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,27,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,28,80,120,40,0,true,true,false,false,0,true,
