algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,10,0.050000,14,80,120,40,7,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 1
HAMMING_12_8,10,0.050000,15,80,120,40,6,true,false,true,false,0,false,byte fuera de rango ASCII: 0xDC
HAMMING_12_8,10,0.050000,16,80,120,40,9,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 5
HAMMING_12_8,10,0.050000,17,80,120,40,9,true,true,true,true,7,false,
HAMMING_12_8,10,0.050000,18,80,120,40,6,true,false,true,false,0,false,byte fuera de rango ASCII: 0xD5
HAMMING_12_8,10,0.050000,19,80,120,40,5,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 6
HAMMING_12_8,10,0.050000,20,80,120,40,5,true,true,true,true,5,true,
HAMMING_12_8,100,0.000000,1,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,2,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,3,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,4,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,5,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,6,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,7,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,8,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,9,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,10,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,11,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,12,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,13,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,14,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,15,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,16,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,17,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,18,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,19,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.000000,20,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,1,800,1200,400,2,true,true,true,true,2,true,
HAMMING_12_8,100,0.001000,2,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,3,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,4,800,1200,400,1,true,true,true,true,1,true,
HAMMING_12_8,100,0.001000,5,800,1200,400,2,true,true,true,true,2,true,
HAMMING_12_8,100,0.001000,6,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,7,800,1200,400,2,true,true,true,true,2,true,
HAMMING_12_8,100,0.001000,8,800,1200,400,1,true,true,true,true,1,true,
HAMMING_12_8,100,0.001000,9,800,1200,400,2,true,true,true,true,2,true,
HAMMING_12_8,100,0.001000,10,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,11,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,12,800,1200,400,2,true,true,true,true,2,true,
HAMMING_12_8,100,0.001000,13,800,1200,400,4,true,true,true,true,4,true,
HAMMING_12_8,100,0.001000,14,800,1200,400,1,true,true,true,true,1,true,
HAMMING_12_8,100,0.001000,15,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,16,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,17,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,18,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,19,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.001000,20,800,1200,400,0,true,true,false,false,0,true,
HAMMING_12_8,100,0.010000,1,800,1200,400,13,true,true,true,true,13,true,
HAMMING_12_8,100,0.010000,2,800,1200,400,18,true,true,true,true,17,false,
HAMMING_12_8,100,0.010000,3,800,1200,400,7,true,true,true,true,7,true,
HAMMING_12_8,100,0.010000,4,800,1200,400,9,true,true,true,true,9,true,
HAMMING_12_8,100,0.010000,5,800,1200,400,17,true,true,true,true,12,false,
HAMMING_12_8,100,0.010000,6,800,1200,400,8,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 12
HAMMING_12_8,100,0.010000,7,800,1200,400,15,true,true,true,true,15,true,
HAMMING_12_8,100,0.010000,8,800,1200,400,10,true,true,true,true,10,true,
HAMMING_12_8,100,0.010000,9,800,1200,400,18,true,false,true,false,0,false,byte fuera de rango ASCII: 0xD8
HAMMING_12_8,100,0.010000,10,800,1200,400,17,true,true,true,true,16,false,
HAMMING_12_8,100,0.010000,11,800,1200,400,17,true,true,true,true,17,true,
HAMMING_12_8,100,0.010000,12,800,1200,400,9,true,true,true,true,9,true,
HAMMING_12_8,100,0.010000,13,800,1200,400,11,true,true,true,true,11,true,
HAMMING_12_8,100,0.010000,14,800,1200,400,8,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 47
HAMMING_12_8,100,0.010000,15,800,1200,400,13,true,true,true,true,13,true,
HAMMING_12_8,100,0.010000,16,800,1200,400,8,true,true,true,true,8,true,
HAMMING_12_8,100,0.010000,17,800,1200,400,10,true,true,true,true,10,true,
HAMMING_12_8,100,0.010000,18,800,1200,400,12,true,true,true,true,12,true,
HAMMING_12_8,100,0.010000,19,800,1200,400,12,true,true,true,true,12,true,
HAMMING_12_8,100,0.010000,20,800,1200,400,10,true,true,true,true,10,true,
HAMMING_12_8,100,0.050000,1,800,1200,400,54,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 58
HAMMING_12_8,100,0.050000,2,800,1200,400,61,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 13
HAMMING_12_8,100,0.050000,3,800,1200,400,65,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 49
HAMMING_12_8,100,0.050000,4,800,1200,400,39,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 11
HAMMING_12_8,100,0.050000,5,800,1200,400,63,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 45
HAMMING_12_8,100,0.050000,6,800,1200,400,66,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 14
HAMMING_12_8,100,0.050000,7,800,1200,400,54,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 12
HAMMING_12_8,100,0.050000,8,800,1200,400,61,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 74
HAMMING_12_8,100,0.050000,9,800,1200,400,72,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 28
HAMMING_12_8,100,0.050000,10,800,1200,400,66,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 78
HAMMING_12_8,100,0.050000,11,800,1200,400,55,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 18
HAMMING_12_8,100,0.050000,12,800,1200,400,51,true,false,true,false,0,false,byte fuera de rango ASCII: 0xED
HAMMING_12_8,100,0.050000,13,800,1200,400,59,true,false,true,false,0,false,byte fuera de rango ASCII: 0xDF
HAMMING_12_8,100,0.050000,14,800,1200,400,56,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 76
HAMMING_12_8,100,0.050000,15,800,1200,400,65,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 4
HAMMING_12_8,100,0.050000,16,800,1200,400,48,true,false,true,false,0,false,byte fuera de rango ASCII: 0xE4
HAMMING_12_8,100,0.050000,17,800,1200,400,65,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 28
HAMMING_12_8,100,0.050000,18,800,1200,400,66,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 30
HAMMING_12_8,100,0.050000,19,800,1200,400,53,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 21
HAMMING_12_8,100,0.050000,20,800,1200,400,56,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 49
HAMMING_12_8,1000,0.000000,1,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,2,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,3,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,4,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,5,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,6,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,7,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,8,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,9,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,10,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,11,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,12,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,13,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,14,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,15,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,16,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,17,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,18,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,19,8000,12000,4000,0,true,true,false,false,0,true,
HAMMING_12_8,1000,0.000000,20,8000,12000,4000,0,true,true,false,false,0,true,
